"Player.Name","Salary","Position","Age","Team","GP","GS","AST","STL","BLK","PTS","FG","FGA","Total.Minutes"
"Markieff Morris",2905851,"PF",33,"BRK/DAL",35,2,0.9,0.3,0.1,3.8,1.3,3.3,355
"Andre Iguodala",2905851,"PF",39,"GSW",8,0,2.4,0.5,0.4,2.1,0.9,1.9,113
"Serge Ibaka",2905851,"C",33,"MIL",16,0,0.3,0.1,0.4,4.1,1.6,3.4,185
"Udonis Haslem",2905851,"C",42,"MIA",7,1,0,0.1,0.3,3.9,1.4,4.1,71
"Wesley Matthews",2905851,"SF",36,"MIL",52,0,0.7,0.4,0.3,3.4,1.1,3.1,820
"Austin Rivers",2905851,"SG",30,"MIN",52,10,1.4,0.5,0.1,4.9,1.8,4,1016
"Bismack Biyombo",2905851,"C",30,"PHO",61,14,0.9,0.3,1.4,4.3,2,3.4,874
"Taj Gibson",2905851,"C",37,"WAS",49,2,0.7,0.3,0.2,3.4,1.3,2.6,480
"Precious Achiuwa",2840160,"C",23,"TOR",55,12,0.9,0.6,0.5,9.2,3.6,7.3,1140
"Christian Braun",2808600,"SG",21,"DEN",76,6,0.8,0.5,0.2,4.7,1.9,3.8,1181
"Jordan Nwora",2800000,"SF",24,"MIL/IND",62,14,1.4,0.4,0.2,8.7,3.1,7.2,1188
"Jalen Johnson",2792640,"SF",21,"ATL",70,6,1.2,0.5,0.5,5.6,2.3,4.6,1042
"Tyrese Maxey",2726880,"SG",22,"PHI",60,41,3.5,0.8,0.1,20.3,7.3,15.2,2016
"Bruno Fernando",2717391,"C",24,"HOU/ATL",39,4,0.8,0.2,0.9,3.9,1.5,2.9,405
"Walker Kessler",2696400,"C",21,"UTA",74,40,0.9,0.4,2.3,9.2,4,5.6,1703
"Keon Johnson",2681040,"SG",20,"POR",40,0,1.5,0.5,0.2,4.7,1.7,4.5,416
"Charles Bassey",2674742,"C",22,"SAS",35,2,1.3,0.5,0.9,5.7,2.5,3.9,508
"Matthew Dellavedova",2628597,"PG",32,"SAC",32,0,1.3,0.2,0,1.5,0.5,1.6,213
"Trey Lyles",2625000,"PF",27,"SAC",74,0,0.9,0.4,0.4,7.6,2.5,5.5,1247
"Zeke Nnaji",2617800,"PF",22,"DEN",53,5,0.3,0.3,0.4,5.2,2.1,3.7,728
"David Roddy",2588640,"PF",21,"MEM",70,4,0.8,0.4,0.3,6.7,2.6,6,1258
"Isaiah Jackson",2573760,"C",21,"IND",63,12,0.8,0.5,1.5,7.2,2.8,5,1042
"MarJon Beauchamp",2485200,"SF",22,"MIL",52,11,0.7,0.4,0.1,5.1,1.8,4.7,701
"Usman Garuba",2471160,"C",20,"HOU",75,1,0.9,0.6,0.4,3,1.1,2.4,970
"Raul Neto",2463490,"PG",30,"CLE",48,1,1.6,0.4,0.1,3.3,1.2,2.3,505
"Frank Kaminsky",2463490,"C",29,"HOU/ATL",36,0,0.9,0.2,0.1,2.5,0.9,1.8,235
"Montrezl Harrell",2463490,"C",29,"PHI",57,7,0.6,0.3,0.4,5.6,2.2,3.7,681
"Blake Wesley",2385480,"SG",19,"SAS",37,1,2.7,0.7,0.1,5,1.9,5.8,669
"Josh Christopher",2372160,"SG",21,"HOU",64,2,1.1,0.5,0.2,5.8,2.4,5.1,786
"Isaiah Roby",2330681,"PF",24,"SAS",42,2,0.9,0.4,0.2,4.1,1.6,3.7,474
"Lindy Waters III",2316876,"SG",25,"OKC",41,0,0.7,0.3,0.3,5.2,1.7,4.3,531
"Immanuel Quickley",2316240,"SG",23,"NYK",81,21,3.4,1,0.2,14.9,5.2,11.6,2344
"John Konchar",2300000,"SF",26,"MEM",72,23,1.4,1.1,0.3,5.1,1.9,4.4,1494
"Rodney McGruder",2298385,"SG",31,"DET",32,12,0.9,0.5,0,5.7,1.9,4.8,524
"Bryn Forbes",2298385,"SG",29,"MIN",25,0,0.7,0.3,0.1,3.6,1.2,3.3,268
"Damian Jones",2298385,"C",27,"LAL/UTA",41,1,0.4,0.2,0.5,3.5,1.3,2.1,477
"Quentin Grimes",2277000,"SG",22,"NYK",71,66,2.1,0.7,0.4,11.3,4,8.5,2121
"Saben Lee",2266640,"PG",23,"PHI/PHO",25,1,2.7,0.8,0,6,2,4.8,373
"Andrew Nembhard",2244111,"SG",23,"IND",75,63,4.5,0.9,0.2,9.5,3.8,8.6,2073
"Payton Pritchard",2239200,"PG",25,"BOS",48,3,1.3,0.3,0,5.6,2.1,5.1,643
"Bones Hyland",2201520,"PG",22,"DEN/LAC",56,1,3.1,0.7,0.3,11.8,4.1,10.2,1085
"Bol Bol",2200000,"PF",23,"ORL",70,33,1,0.4,1.2,9.1,3.7,6.8,1505
"Peyton Watson",2193960,"SG",20,"DEN",23,2,0.5,0.1,0.5,3.3,1.3,2.6,186
"Udoka Azubuike",2174880,"C",23,"UTA",36,4,0.3,0.2,0.4,3.5,1.6,2,359
"Jaden McDaniels",2161440,"SF",22,"MIN",79,79,1.9,0.9,1,12.1,4.7,9.1,2416
"Jordan McLaughlin",2160000,"PG",26,"MIN",43,0,3.4,0.7,0.1,3.7,1.4,3.4,678
"Malachi Flynn",2145720,"PG",24,"TOR",53,2,1.3,0.4,0.1,4.6,1.6,4.6,691
"Cam Thomas",2138160,"SG",21,"BRK",57,4,1.4,0.4,0.1,10.6,3.5,8,948
"Luke Kornet",2133278,"C",27,"BOS",69,0,0.8,0.2,0.7,3.8,1.6,2.5,804
"Damion Lee",2133278,"SG",30,"PHO",74,5,1.3,0.4,0.1,8.2,2.7,6.1,1506
"Juan Toscano-Anderson",2133278,"SF",29,"LAL/UTA",52,9,1.3,0.3,0.2,3,1.2,2.8,700
"Desmond Bane",2130240,"SG",24,"MEM",58,58,4.4,1,0.4,21.5,7.8,16.2,1841
"Jaden Springer",2125200,"SG",20,"PHI",16,2,0.5,0.4,0.2,2.6,1.1,2.2,89
"Day'Ron Sharpe",2109480,"C",21,"BRK",48,3,0.8,0.3,0.7,4.7,1.9,3.6,552
"Tony Bradley",2036318,"C",25,"CHI",12,0,0.1,0.1,0.1,1.6,0.5,1,33
"Frank Ntilikina",2036318,"SG",24,"DAL",47,5,1.2,0.3,0.1,2.9,1,2.8,607
"Garrison Mathews",2e+06,"SG",26,"HOU/ATL",54,0,0.5,0.4,0.1,4.8,1.4,3.7,686
"Jaylin Williams",2e+06,"C",20,"OKC",49,36,1.6,0.6,0.2,5.9,2.1,4.8,914
"Jeremiah Robinson-Earl",2e+06,"PF",22,"OKC",43,20,1,0.6,0.3,6.8,2.6,5.8,814
"Kenrich Williams",2e+06,"PF",28,"OKC",53,10,2,0.8,0.3,8,3.4,6.5,1206
"Caleb Houstan",2e+06,"SF",20,"ORL",51,4,0.6,0.2,0.1,3.8,1.3,3.6,812
"Shake Milton",1997718,"SG",26,"PHI",76,11,3.2,0.3,0.2,8.4,3.2,6.6,1567
"Aaron Holiday",1968175,"PG",26,"ATL",63,6,1.4,0.6,0.2,3.9,1.5,3.5,845
"Yuta Watanabe",1968175,"SF",28,"BRK",58,1,0.8,0.4,0.3,5.6,2,4,928
"Edmond Sumner",1968175,"SG",27,"BRK",53,12,1.3,0.6,0.2,7.1,2.3,5.1,736
