PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Queen Egbo,"$74,398 ",--,37,0,12.8,4.8,2,4,50.00%,2,4,50.00%,0,0,--,0.8,1.3,63.80%,1.1,3.2,4.3,0.3,0.9,0.4,0.6,2.3
Zia Cooke,"$69,663 ",--,39,4,14.1,4.8,1.7,5.8,28.90%,1.2,4,30.10%,0.5,1.8,26.10%,1,1.2,81.30%,0.3,0.7,0.9,0.8,0.7,0.3,0.3,0.9
Lexie Hull,"$77,669 ",Rookie,30,25,20.6,4.6,1.8,4.8,37.20%,1.4,2.8,48.20%,0.4,2,21.70%,0.6,0.7,77.30%,1.2,1.6,2.7,1.1,1,1,0.3,2.8
Olivia Nelson-Ododa,"$71,124 ",Rookie,39,0,15,4.5,1.7,3.1,53.70%,1.7,3.1,53.70%,0,0,--,1.2,1.7,70.80%,1.3,2.4,3.7,0.6,0.8,0.5,0.8,2.2
Kayla Thornton,"$110,000 ",--,40,0,17.3,4.5,1.6,3.8,43.30%,1,1.8,57.10%,0.6,2,31.30%,0.6,0.8,76.70%,1.2,2.3,3.5,0.7,0.5,0.7,0.3,1.7
Morgan Bertsch,"$64,154 ",Resered,28,5,14.2,4.4,1.7,3.7,45.60%,1.1,2.4,46.30%,0.6,1.3,44.40%,0.4,0.6,75.00%,0.4,1.3,1.7,0.7,1.1,0.4,0.3,1.8
Grace Berger,"$72,727 ",--,36,0,14.6,4.2,1.6,3.5,44.90%,1.1,2.6,44.10%,0.4,0.9,47.10%,0.6,0.7,84.00%,0.2,1.4,1.6,1.9,1,0.5,0.2,1.1
Naz Hillmon,"$71,124 ",Rookie,40,3,13.5,4.1,1.5,2.9,50.90%,1.5,2.9,51.30%,0,0,0.00%,1.2,1.4,85.20%,1.3,2.2,3.4,0.7,1,0.2,0.1,1.5
Dulcy Fankam Mendjiadeu,"$66,597 ",--,33,21,14.2,4.1,1.7,3.2,52.30%,1.7,3.2,52.80%,0,0,0.00%,0.7,1.2,55.00%,1.8,2.8,4.5,0.4,0.9,0.4,0.3,2.2
Stefanie Dolson,"$175,000 ",UFA,23,0,11.9,4,1.5,3,51.50%,1,1.8,54.80%,0.5,1.1,46.20%,0.5,0.6,78.60%,0.6,1.4,2,1.2,0.9,0,0.3,1.8
Maddy Siegrist,"$75,792 ",--,39,0,8.2,3.7,1.5,2.9,50.90%,1.3,2.5,53.60%,0.1,0.4,33.30%,0.7,0.7,93.10%,0.9,0.6,1.6,0.2,0.2,0.2,0.2,0.7
Haley Jones,"$72,727 ",--,40,6,14.6,3.7,1.4,4.2,33.70%,1.3,3.5,36.20%,0.2,0.7,21.40%,0.8,1,75.60%,0.4,2,2.4,2.3,1.4,0.4,0.3,1.7
